ResponseId,id,"Which aspects of the scenario would make you feel that your data is safe or unsafe? (medical, other)",med_distrust,med_distrust2,med_trust,med_trust2,med_info,med_misc,safety-IoT,iot_distrust,iot_distrust2,iot_trust,iot_trust2,iot_info,iot_misc,notes,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,C med_distrust,C med_distrust2,C med_trust,C med_trust2,C med_info,C med_misc,C iot_distrust,C iot_distrust2,C iot_trust,C iot_trust2,C iot_info,C iot_misc,M med_distrust,M med_distrust2,M med_trust,M med_trust2,M med_info,M med_misc,M iot_distrust,M iot_distrust2,M iot_trust,M iot_trust2,M iot_info,M iot_misc
R_8iPCaSiHHS7sbiQ,320,nothing is failsafe and hackers will always find a way to hack into a secure system,Distrust:Gen,Distrust:Hacker,,,,,no,,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,Distrust:Gen,Distrust:Hacker,,,,,,,,,,,Distrust:Gen,Distrust:Hacker,,,,,,,,,,
R_5224ET6kbNcfjq1,321,"Again, there’s that small number of researchers who do have access to my data. How are they controlled.",,,,,Info:People,,Generally feel that my data would be safe BUT that small group of developers makes me uneasy.,Distrust:Repeat People,,Trust:Vague,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,,,,,Info:People,,Distrust:Repeat People,,Trust:Vague,,,,,,,,Info:People,,Distrust:Repeat People,,Trust:Vague,,,
R_2HLbmP2oOatWfMj,322,I feel the reputation of the particular hospital would make me feel the study is safe.,,,,,Info:Destination,,Smart device companies regularly get bought out or close. Will this policy remain even if the company is gone?,,,,,Info:Destination,,,Medical-Simple,IoT-Simple,Trust,Show,,,,,Info:Destination,,,,,,Info:Destination,,,,,,Info:Destination,,,,,,Info:Destination,
R_50IUbYswWY79Nn3,323,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_2nGUq0TMIRy9x2F,324,I personally would not release ANY medical history to anyone trying to figure out where to build a hospital.,Distrust:Repeat Data,Distrust:Repeat Purpose,,,,,"I think the description of the TEE is not detailed enough for someone who isn't familiar with them. I know nothing about the company or the teammates so even though it states they are the only ones who will have access, it doesn't let me know that those teammates are vetted on a security level. ",,,,,Info:TEE,,,Medical-Simple,IoT-Complex,Hardware,None,Distrust:Repeat Data,Distrust:Repeat Purpose,,,,,,,,,Info:TEE,,Distrust:Repeat Data,Distrust:Repeat Purpose,,,,,,,,,Info:TEE,
R_8b43mrgMwApy7sW,325,I believe the TEE would be more safe to store my data than a human. Humans make mistakes more often,Distrust:Repeat People,,Trust:Repeat TEE,,,,I feel as though the data would be safe,,,Trust:Vague,,,,,Medical-Complex,IoT-Complex,None,Hide,Distrust:Repeat People,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,Distrust:Repeat People,,Trust:Repeat TEE,,,,,,Trust:Vague,,,
R_1CfR0aofwfWqwe4,326,Nope,,,,,,,Nope,,,,,,,,Medical-Complex,IoT-Complex,Trust,None,,,,,,,,,,,,,,,,,,,,,,,,
R_28NdY33hRilOgey,327,I feel confident my data would be safe,,,Trust:Vague,,,,I think the data would be safe with the use of a TEE but i don't feel safe about the type of data being collected,Distrust:Repeat Data,,Trust:Repeat TEE,,,,,Medical-Simple,IoT-Simple,Hardware,None,,,Trust:Vague,,,,Distrust:Repeat Data,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,Distrust:Repeat Data,,Trust:Repeat TEE,,,
R_2HugklosnmgLmAY,328,There is nothing else about the scenario that makes me feel that my data would be safe or unsafe.,,,,,,,There is nothing else about the senario that makes me feel that my data would be safe or unsafe. The senario described above makes me feel like my data would be safe overall.,,,Trust:Vague,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,,,,,,,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,
R_21ToDeqhPQTY74t,329,i like that only a few people would be able to access my data.,,,Trust:People,,,,"no, but nothing is 100% safe.",Distrust:Gen,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,,,Trust:People,,,,Distrust:Gen,,,,,,,,Trust:People,,,,Distrust:Gen,,,,,
R_3qvAt7olpNlWl9O,330,No,,,,,,,Not using name and address would help to feel safer,Distrust:Repeat Data,,,,,,,Medical-Simple,IoT-Simple,None,Hide,,,,,,,Distrust:Repeat Data,,,,,,,,,,,,Distrust:Repeat Data,,,,,
R_1qjW65lkqYC7fdg,331,"About 90 percent safe buta y people involved will have access to my data & their staff too, more people will access my data ",Distrust:Repeat People,,Trust:Vague,,,,"Again, people will have access toy data,the team and their assistant will also have access. More people will have access to my data than I would originally think.",Distrust:Repeat People,,,,,,,Medical-Complex,IoT-Simple,Hardware,Show,Distrust:Repeat People,,Trust:Vague,,,,Distrust:Repeat People,,,,,,Distrust:Repeat People,,Trust:Vague,,,,Distrust:Repeat People,,,,,
R_3tg6hGEvXMOerqA,332,"Not especially, my doctor does similar work in her office.",,,Trust:Repeat Purpose,,,,"I think the human element always seems to scare me a bit truthfully. That said, we do it everyday. I suppose we are in that day and age where we've sacrificed our personal information  for ease.",Distrust:Repeat People,,,,,,,Medical-Complex,IoT-Complex,None,Show,,,Trust:Repeat Purpose,,,,Distrust:Repeat People,,,,,,,,Trust:Repeat Purpose,,,,Distrust:Repeat People,,,,,
R_1BIOYfojeGoif2p,333,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,,,,,,,,,,,,,,,,,,,,,,,,
R_7DvYkelERHA2K7N,334,"Not really, just the TEE",,,Trust:Repeat TEE,,,,"It really just sounds great, I would definitely try this ",,,Trust:Vague,,,,,Medical-Simple,IoT-Complex,Trust,Hide,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,,,,Trust:Repeat TEE,,,,,,Trust:Vague,,,
R_2lcJwAxXh4Zdwdr,335,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,,,,,,,,,,,,,,,,,,,,,,,,
R_75AhqCnbb7F31Z1,336,,,,,,,,The process of transmitting the data from my device to their servers feels a bit vulnerable,Distrust:Transmission/Store,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,,,,,,,Distrust:Transmission/Store,,,,,,,,,,,,Distrust:Transmission/Store,,,,,
R_7XaQ0ifXrvmWnQp,337,"Sharing protected Health information linked to my name & address for preventative care seems suspicious. Address or zone, age & gender should be adequate for stated purpose.  Too much information requested, larger possibilities for misuse.",Distrust:Repeat Data,Distrust:Unnecessary,,,,,Search results & website history can contain overly sensitive people.,Distrust:Repeat Data,,,,,Misc:Inaccurate,,Medical-Simple,IoT-Complex,Trust,None,Distrust:Repeat Data,Distrust:Unnecessary,,,,,Distrust:Repeat Data,,,,,Misc:Inaccurate,Distrust:Repeat Data,Distrust:Unnecessary,,,,,Distrust:Repeat Data,,,,,Misc:Inaccurate
R_81KfWNaviHn4zBf,338,NA,,,,,,,The expanded FAQ uses a lot of tech buzzwords that sound overly technical to the target audience,,,,,,Misc:Unclear,,Medical-Complex,IoT-Simple,Trust,Hide,,,,,,,,,,,,Misc:Unclear,,,,,,,,,,,,Misc:Unclear
R_2CB7WnOrnWj1c8V,339,The government demanded medical records of patients in order to track people who have had abortions (Vanderbilt university).  I do not believe that any data is ever safe.  And I 6505c857bd761b288fabc9a0ill never willingly share medical data.,Distrust:Gen,Distrust:Repeat Data,,,,,"All safe computing environments have been eventually hacked into. I do,not see this situation as being any different",Distrust:Gen,Distrust:Hacker,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,Distrust:Gen,Distrust:Repeat Data,,,,,Distrust:Gen,Distrust:Hacker,,,,,Distrust:Gen,Distrust:Repeat Data,,,,,Distrust:Gen,Distrust:Hacker,,,,
R_3wBtJB0LRcUczMD,340,no,,,,,,,safe,,,Trust:Vague,,,,,Medical-Simple,IoT-Complex,None,Show,,,,,,,,,Trust:Vague,,,,,,,,,,,,Trust:Vague,,,
R_52aJA6joLZZWleS,341,The use of the word protected. Although I don’t know what TEEs do I’d assume they are some sort of good protection for my data. So that makes me feel somewhat safe.,,,"Trust:""Trust""",,,,None,,,,,,,,Medical-Simple,IoT-Simple,None,None,,,"Trust:""Trust""",,,,,,,,,,,,"Trust:""Trust""",,,,,,,,,
