ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_5ZPLzodLXZylvq5,1,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_1wELR6sZz0R9dTn,2,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,1
R_1rjNObilLafcYwF,3,How do TEE help patients with a better healthcare system?,,,,,,,Scenario:Misc,,,How does TEE prevent hackers from accessing the datas?,,Risk:Hacking,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,1
R_3KPZjECatePQBeL,4,Have they ever been hacked into?,,Risk:Hacking,,,,Use:Breaches,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,1
R_5X46iFwnhZJFFxT,5,"Again, I still struggle to know what exactly TEEs are. I understand they provide some protection but I don't know how. ",,,,Gen:How?,,,,,,"I don't feel like enough of a description of what a TEE is was provided. I'm still left wondering exactly what it is. While it appears to be something to help with protecting data, I don't really know how it does so. ",,,,Gen:What?,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,0
R_7h6UkStu0zqws3n,6,No,,,,,,,,,,No,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Trust,Show,0
R_2kAGRRUq5C4h6vr,7,HOW CAN MY DATA BE PROTECTED FROM THE FUTURE HACKERS,,Risk:Hacking,,,,,,,,WHY SHOULD I GET EXTRA PROTECTION IF THE INITIAL ONE IS NOT FULLY SAFE,Distrust:Scenario,,,,,,,,,,I REALLY ENJOYED THIS SURVEY AND TEEs SHOULD IMPROVE IT'S SECURITY AND PROTECTION OVER DATA,,Medical-Complex,IoT-Simple,Trust,None,0
R_51sIuZRXgONAhu3,8,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,1
R_27p7rYk8oVC8flL,9,no,,,,,,,,,,I would want more information about the data security measure.,,,,Gen:Implementation,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,None,0
R_3Tt1jQQlqgOihUt,10,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,1
R_7S1BG5zlC88ISuB,11,"I have never heard of a TEE, though I'm assuming it's like an NDA for the researchers ",,,,Gen:Misc,,,,,,Same as before,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,1
R_1dFR37Oqw6UJyfF,12,na,,,,,,,,,,NA,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Trust,Hide,0
R_2I9N1oe9ysFM79r,13,None,,,,,,,,,,Will they sell my data?,,,,,,,Scenario:Data,,,,N/A,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_7K14tTx8MUrtHeK,14,No additional questions at this time.,,,,,,,,,,No additional questions. There is no trust in my beliefs once you turn over information to a company. Just look how some of the credit information companies had a breach and data was acccesed by people not part of the company.,Distrust:Scenario,Risk:Real,,,,,,,,,A TEE can only protect from what is know. You can not protect from an unknown bad actor.,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_5lYpcAwd0xT1O4P,15,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,None,1
R_3Cyrs6khrUSaxT1,16,I have no questions,,,,,,,,,,I have no questions,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_82rRzA7KlidMFLQ,17,I have no questions,,,,,,,,,,N/a,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_7zQFP2cTNKcFoUp,18,none,,,,,,,,,,none,,,,,,,,,,,n/a,,Medical-Simple,IoT-Simple,None,Hide,1
R_1CrXZ60eJo1RWX2,19,I have no questions.,,,,,,,,,,I have no other questions about TEEs.,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_3wcyS3ak9t59vqh,20,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Complex,None,Show,0
R_78Yi7xDUEtXOIKJ,21,none.,,,,,,,,,,questions primarily focus on the data they are collecting and how long it is maintained before being purged/deleted.,,,,,,,Scenario:Data,,,,,,Medical-Complex,IoT-Complex,Trust,Show,0
R_7I5LPcvKubRlmod,22,"I can't think of any more questions. Maybe, would be nice to see more real world examples.",,,,,,Use:Real,,,,I don't have any questions.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,Show,1
R_5To6bRTK6kc73ny,23,TEEs don't seem to be open source. Is there a way to audit them?,,,,Gen:Open Source,,,,,Guarantee:General,Are TEEs being adopted more often now?,,,,,,Use:Real,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_2ASjEbHhoocHDcT,24,None :),,,,,,,,,,,,,,,,,,,,,"Nothing but I really enjoyed the survey. I hope I was able to answer everything good for you guys and I hope I get to work with you again in the future, thank you! ",,Medical-Simple,IoT-Simple,Hardware,Hide,0
R_724JKJkMRqvYu0a,25,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Hide,1
R_1cOG8AtZ0Nl7De9,26,I feel like the statement about the TEE in the above scenario doesnt state definitively the extent to which the AI could store or use or recombine my information. The TEE seems like a good start but doesnt really cover all actions or through points for the data which need to be stated more explicitly. I would certainly feel more safe with the idea of a TEE but it appears limited in scope as pertains to data security.,,,,,,,Scenario:Misc,,,"I like the information communicated that the TEE operates independently of other functions, but how impervious to hacks is it, in reality? Might there be a back door vulnerability?",,Risk:General,Risk:Hacking,,,,,,,,It would seem there is a difference that should be expressed to those providing  datasets that a TEE is limited to an essentially mechanical function and it does not cover all aspects of data security in terms of longevity storage or dissemination by any team member including the AI function.,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_77EdilnaNzCq0gN,27,I don't have any questions.,,,,,,,,,,No questions.,,,,,,,,,,,I believe that in the future advanced A.I. technology could possibly make some Tee systems completely safe.,,Medical-Complex,IoT-Complex,Hardware,None,1
R_1scZq6bFn5wk1y0,28,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Show,0
R_74HIc1hUl9X5tm1,29,,,,,,,,,,," How frequently is the attestation performed, and what specific measures are in place to detect any compromise or misconfiguration in real-time?",,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Show,0
R_232X8VMPQ83p4kc,30,No,,,,,,,,,,No,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_10cMl5n3QMI2NTr,31,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,0
R_2KSy3klavD4T3NL,32,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Complex,None,Show,0
R_2haPpqFTYBGadZ5,33,can the TEES glitch,,Risk:General,,,,,,,,can you do a heavy background check on the person that access the TEES,,,,,,,Scenario:People,,,,,,Medical-Complex,IoT-Complex,Trust,None,1
R_2dcZfragNm46tB3,34,none,,,,,,,,,,none,,,,,,,,,,,none,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,0
R_2N0bbTBA1lns5SF,35,N/A,,,,,,,,,,N/A,,,,,,,,,,,N/A,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_3PD4a5yFFR6n92p,36,Where data is stored? US or elsewhere and if data can be accessed by researchers in foreign countries in the future.,,,,,,,Scenario:Future,Scenario:Misc,,Na,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,0
R_5owr4WkUk16lsuJ,37,No,,,,,,,,,,Mo,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,1
R_1IgiPFcvlJxaPUJ,38,I still would like to know exactly how it works to protect my data.,,,,,,,,,,I'd love to know more information about how they work and how they ensure my data is safe.,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Complex,None,None,0
R_57EfYf5sGAfTyxe,39,"The point that the TEE protects the data even if software is behaving maliciously is reassuring, however, I don’t fully know the level of protection against a hack. Furthermore, people who just have access to the data set may use it inappropriately.",,Risk:Hacking,Risk:People,,,,,,,"I still don’t understand the level of protection against a hack. I think mostly based on my lack of knowledge about how hacks are facilitated. If it’s only ever using software, that might be more reassuring, but are there manual hacks that could guess the password?",,,,,,,,,,,"The short explanation of a TEE is quite good for basic understanding, but in order to truly understand application you need to have outside knowledge.",,Medical-Complex,IoT-Simple,Trust,None,1
R_5cqDkkqu8kJfdHb,40,None,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_2PUaBbGrI7SG5ET,41,N/A,,,,,,,,,,I'm not sure,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,None,0
R_3pyOykzmmENPj24,42,na,,,,,,,,,,na,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_3a8odbL8Yrg0EXW,43,no questions.,,,,,,,,,,"how are the few people who can access data chosen? what rules, regulations, etc do they have to follow to ensure safety",,,,,,,Scenario:People,,,,"no feedback, thank you",,Medical-Simple,IoT-Complex,Hardware,None,0
R_7JLPV4M15KIh5Vd,44,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,1
R_1SUs6cNrqkHmdAl,45,What are the terms in it,,,,Gen:What?,,,,,,What wee the conditions,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,None,1
R_2GJQcgOIrraziSZ,46,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,1
R_3YxZ0cQDzTaB0L6,47,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Show,1
R_5noAh5XxZZCrh6W,48,N/A,,,,,,,,,,N/A,,,,,,,,,,,N/A,,Medical-Simple,IoT-Complex,Hardware,None,0
R_1wiYr9GVyqKQUcB,49,who are the authrozied people?,,,,,,,Scenario:People,,,n/a,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,None,1
R_15ydZ7GNnhPeeMk,50,,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,1
R_2lrDmOIQoyUfzxn,51,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_1qX7dDt2wRvHzm4,52,Need more details about how they work in general without the use of complicated verbiage.,,,,Gen:Untechnical,,,,,,N/A,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Hide,1
R_3Sq5za66yxiWRW2,53,I think my data would be protected by the TEE in this scenario.,,,,,,,,,,I'm just learning about TEEs but I think I get the gist of them.,,,,,,,,,,,Interesting to learn about TEEs,,Medical-Simple,IoT-Simple,Unsubstantial,None,0
R_3ikF3lKeVobPuLu,54,none,,,,,,,,,,About how hackable they are.,,Risk:Hacking,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_6JsgXTTwSShoVpc,55,none,,,,,,,,,,none,,,,,,,,,,,none,,Medical-Complex,IoT-Simple,Trust,None,0
R_3kYLc9mUFqAMtXc,56,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,Show,0
R_1CCcaZORgugK694,57,,,,,,,,,,,,,,,,,,,,,,ive found the more i learn about technology the less i should trust it. this opinion is back up by my programmer wife.,,Medical-Complex,IoT-Simple,Trust,Hide,0
R_2yk0HvTOfZHpq1d,58,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_3h6CKP7DTm0HLxI,59,none,,,,,,,,,,none,,,,,,,,,,,none,,Medical-Simple,IoT-Simple,Hardware,Hide,1
R_5p5d4ZlChLf8WPv,60,I've no further questions,,,,,,,,,,No,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,1
R_5ZJ1UpCWt3jLMxH,61,The TEE itself sounds relatively secure. The data in it would be my concern.,Distrust:Vague,,,,,,Scenario:Data,,,Development team use would not concern me.,,,,,,,,,,,"None, thank you!",,Medical-Complex,IoT-Simple,Unsubstantial,Hide,0
R_7tNXR6lAKDCTqV3,62,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_1Puoh2xawl3nsZp,63,"as mentioned before, what counts as 'modern', since I know of countless times when such security as easily bypassed your examples feel not so secure. also not relying on windows is a must for security (only being on the most unsecure OS is limiting at best and inviting attacks at worst) ",,Risk:Real,,Gen:Misc,,,,,,none relating to this particular scenario,,,,,,,,,,,"yeah, first my w key is iffy so sorry about any confustion caused by that, second in the first scenario you ask about ho safe it is from someone else using the same computer. ell its impoossible to say, since it depends on non tee limited settings (ie is the data seperatly encrypted? does anyone ever forget to log out?that leaves risk open but not as a result of the tees since a simple copy/paste is not exactly prohibited (how else would you be able to add/remove data ) or even non encrypted could be copied inadvertently by automated backup systems which Id imagine most reputable organiziations would do
also a fe questions ask a bit unbelievable statments (ie knowing for certain, yet bugs are always possible anywhere, to automatically assume tees are immune is irresponsible since I imagine new revisions and standards have the same risks of early issues .as anything else secure)",,Medical-Complex,IoT-Complex,Trust,Show,1
R_3Re69hXEF7vN6M1,64,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,1
R_560myjLWrUNqpO1,65,I need to see the results after the first few years,,,,,,Use:New,,,,Nothing,,,,,,,,,,,no,,Medical-Complex,IoT-Complex,Trust,Show,1
R_1tSWGiskO9tO2Vb,66,N/A,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,None,0
R_5rH6sqaIKayR6IX,67,None.,,,,,,,,,,How do they handle hackers and rogue employees?,,Risk:Hacking,Risk:People,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Show,0
R_3SRq7J7SiPfkHTj,68,n/a,,,,,,,,,,I don't have any other questions.,,,,,,,,,,,n/a,,Medical-Complex,IoT-Complex,Trust,Show,0
R_3Sj8FII7a8ujRe1,69,Are the people authorized to use the TEE looked over by anyone else,,,,,,,Scenario:People,,,no,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,None,1
R_10ZHqKW0zjyX0Vb,70,Can you specify what mechanisms prevent PII from leaving the TEE?,,,,Gen:Implementation,,,,,,"Again, what mechanisms prevent data being copied out of the TEE - and under what circumstances are data copied out?",,,,,,,,,,,none,,Medical-Complex,IoT-Complex,Trust,Hide,1
R_72smmBxWzBohS7O,71,"Same questions as before, any proof of its strengths?",,,,,,,,,Guarantee:General,Who all will have access to the information? Is there anything TEEs do to stop the company collecting the data from selling it outside the TEEs?,Distrust:Scenario,,,,,,Scenario:People,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Show,0
R_2lX5q447U9Tfiiy,72,No questions about TEE’s,,,,,,,,,,I don’t have any questions about TEE’s,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,None,0
R_8BtkOdhyM1FiidP,73,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,None,None,1
R_3ps8WwKbXyLuuK7,74,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,0
R_3aqvA6cfxpBywXh,75,What makes TEEs secure.,,,,Gen:How?,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,None,1
R_2ISrYpudrvPKmtc,76,Good details provided on what a TEE is and how it partitions data but still concerns as described above,,,,,,,,,,None,,,,,,,,,,,"Interesting study, wasn't familiar with the term TEE",,Medical-Simple,IoT-Simple,Trust,Hide,1
R_1dsbJjmFjvRwAAC,77,I need to read independent reviews on this software I would probably find it on YouTube or the internet It's beyond What I can judge to be safe or unsafe.,,,,Gen:Visual,,Use:Request,,,,Like I said I would do more independent research I don't mean a full investigation just some basic backgrounds to see if there has been any issues or leaks.,,,,,,Use:Breaches,,,,,no,,Medical-Simple,IoT-Complex,Unsubstantial,Show,0
R_1hMZVoCFiyG58Lq,78,NA,,,,,,,,,,NA,,,,,,,,,,,NA,,Medical-Complex,IoT-Complex,Hardware,Hide,1
R_5ghk4rZj088M7IR,79,None,,,,,,,,,,Perhaps just wondering what some more applications of TEEs are.,,,,,,Use:Real,,,,,No,,Medical-Simple,IoT-Complex,Hardware,Show,0
R_3XOX5A15QwXaqhr,80,none,,,,,,,,,,none,,,,,,,,,,,none,,Medical-Simple,IoT-Complex,Trust,Show,0
R_1DuLGtltVYqrUKY,81,I think the explanation presented in the description of the study sounds like unclear double talk.,Distrust:Vague,,,Gen:Untechnical,,,,,,,,,,,,,,,,,I imagine simply using our smart phones mean we use TEE everyday.,,Medical-Simple,IoT-Complex,None,None,1
R_3s6335bDFIFxTFx,82,I felt the article provided a lot of good info,,,,,,,,,,I feel that tee is a very good program and useful for many devices,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Hide,0
R_3qImhlux2XMOGsa,83,No further questions,,,,,,,,,,No further questions,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Unsubstantial,Hide,1
R_5t9BYdiGHtuY4Ct,84,What exactly is the TEE going to protect and how?,,,,Gen:How?,,,,,,"I have heard it has something to do with data storage and am inferring it is a safety protocol, but I don't know how it is stored and who at the organization has access to it. Can the data be easily downloaded, etc.",,Risk:People,,Gen:Implementation,,,Scenario:People,,,,No,,Medical-Complex,IoT-Simple,None,None,0
R_2aVtkY5CbtWSz2v,85,I can't think of anything.,,,,,,,,,,I don't have any additional questions.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,None,0
R_2BSFaCC292DKrgR,86,None,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Hide,0
R_6i57Pd9a3ekxKMz,87,None - it was explained well for me but it could be shortened I think.,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Simple,IoT-Simple,Hardware,Show,1
R_5Vr6rJfPuLsZyvc,88,No questions.,,,,,,,,,,No questions.,,,,,,,,,,,No comments at this time.,,Medical-Simple,IoT-Complex,Hardware,Hide,0
R_1LioC2efJtEJpEJ,89,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Show,0
R_6GHQOSosVs4NNSN,90,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,1
R_3qQhrx0uSEURdam,91,none,,,,,,,,,,No,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_5lzB0E2VkveH9HL,92,No,,,,,,,,,,NO,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Unsubstantial,Show,1
R_2GfRrKeRDQjgDGw,93,What exactly is a TEE and how does it insure safety of the data.,,,,Gen:How?,Gen:What?,,,,,Any information at all on TEEs. None given.,,,,,,,,,,,TEEs just need explained. Nothing given.,,Medical-Simple,IoT-Complex,None,None,1
R_1n2VJNjoXewrP35,94,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_5CCiHeyUXPuphC5,95,None.,,,,,,,,,,None.,,,,,,,,,,,No.,,Medical-Complex,IoT-Complex,Trust,Show,0
R_12FCxDzGW4wwiQd,96,I want a more detailed explanation of TEEs.,,,,Gen:How?,,,,,,They can say it’s protected all they want. Yet even the biggest companies have data breaches.  I don’t trust a light bulb company with my data.,Distrust:Scenario,Risk:Real,,,,,,,,,,,Medical-Complex,IoT-Simple,None,None,1
R_35TSOsZSuDVXQul,97,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,1
R_2sSI01QWWmTUaai,98,Still need an actual definition,,,,,,,,,,I feel like I definitely at least needed a definition on what a TEE is.,,,,Gen:What?,,,,,,,,,Medical-Complex,IoT-Complex,None,None,0
R_7iQC57nN9NGO1jP,99,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Show,0
R_3WGATrQhOIu6ph9,100,,,,,,,,,,,I would like a real life example of what else uses TEE. I don't really have any interest in smart light bulbs.,,,,,,Use:Real,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,0
R_3MPu9pNNUUAO65s,101,even the biggest and best companies get hacked so who is to say that this system wouldn't be or couldn't be,,Risk:Hacking,,,,,,,,even the biggest and best companies get hacked so who is to say that this system wouldn't be or couldn't be,,,,,,,,,,,no thank you,,Medical-Complex,IoT-Complex,Trust,None,1
R_2n79GrPiTZf8Dc4,102,"No further questions
",,,,,,,,,,no questions,,,,,,,,,,,"I didn't understand what you meant by ""development team."" The software development team or the medical researchers?",,Medical-Complex,IoT-Simple,Unsubstantial,Hide,1
R_3GE6MIukT2AMH5C,103,,,,,,,,,,,"I'd like to know more about how the TEE specifically ensures that my data remains secure and how it handles potential vulnerabilities. Additionally, I’m curious about what happens if there is a breach—how quickly would I be notified, and what measures would be taken to protect my data in that scenario? ",,,,Gen:Implementation,,,Sceanrio:Fail,,,,,,Medical-Simple,IoT-Simple,Trust,None,0
R_3mJIFZg6c2wl25Q,104,no questions.,,,,,,,,,,No questions.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,0
R_7Rn3JPlhvaA33q1,105,N/A,,,,,,,,,,N/A,,,,,,,,,,,N/A,,Medical-Complex,IoT-Simple,Hardware,Show,1
R_6ezpv2XLxBGl3CW,106,None,,,,,,,,,,,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,None,Show,0
R_1gmXuCXtaX7wqFr,107,A question could be how many people would have access to the TEE program.,,,,,,,Scenario:People,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,1
R_3jvUHAqNkptaKs1,108,"I don't have the technical expertise to know for sure how viable this sort of system is, only what I am being told. ",Distrust:Vague,,,,,,,,,Nothing,,,,,,,,,,,Nothing,,Medical-Simple,IoT-Complex,Trust,Show,1
R_7w0iVWOLZcNUEQJ,109,"How many people actually have access to the TEEs, and am I able to withdraw my own information from it if I choose to do so later on?",,,,,,,Scenario:Data,Scenario:People,,Who is funding the use of the TEEs?,Distrust:Vague,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,None,1
R_5kvoUFCoNkgwImo,110,I do not have any,,,,,,,,,,I would need to know more about the specific legal protections offered by TEEs,,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Complex,None,None,0
R_1OJmQcgl7alV9xh,111,Have there been any situations where information in a TEE has been taken? How secure is it?,,,,,,Use:Breaches,,,Guarantee:General,"The process of a TEE seems safe, but not knowing who can access it is the problem.",,,,,,,Scenario:People,,,,The survey itself seemed straightforward and I feel like it explained TEEs fairly well. I had no idea what the process was but now I feel like I generally understand its purpose.,,Medical-Simple,IoT-Simple,Trust,Hide,1
R_124mL8xHO1YAQYS,112,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Show,0
R_51i8M0V0EHvYKgp,113,None.,,,,,,,,,,None that I can think of.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_3QXnHMz3J9vTYKq,114,N/A,,,,,,,,,,No more questions,,,,,,,,,,,N/A,,Medical-Simple,IoT-Complex,Unsubstantial,Hide,0
R_5IF2HeFRANJv2Au,115,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,1
R_1Ep3ICX5wtlBKrv,116,None,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,0
R_3EvwuXmJsQyDTUJ,117,Norhing,,,,,,,,,,Non,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_7LjfIA3AcB6kjcJ,118,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_7jJoFiLbrnZOV06,119,"What is TEE, or TEES,? But regardless, I still feel safe. All because I am use to studies being done by a hospital. My data has never been compromised that I know of. I am scheduled for one this week. I have been working with them for many years, and not one incident. If my data leaks out, then there will be consequences. They can not afford for anyone's data to be shared. ",,,,Gen:What?,,,,,,What are TEES? Is my only question at this point.,,,,,,,,,,,No,,Medical-Complex,IoT-Complex,None,None,1
R_2aeovcZNZXxSdmN,120,,,,,,,,,,,I don't think anything?,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,0
R_5JwlZMTa9eBNqpT,121,Is the TEE code open source or no?  Who verified its security?  The company developing the software or 3rd party entities?,,,,Gen:Open Source,,,,,Guarantee:General,None.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Show,1
R_10pHs8wBj60IyvC,122,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Hide,0
R_72JiCCBbWv4BLht,123,"I feel that I have a grasp on what a TEE is now, though I came in having no idea what they were",,,,,,,,,,What work around an are there for tees? Are they routinely updated and monitored so as to ensure that there are no back door entries to the data?,,Risk:General,,Gen:Misc,,,,,,,Nothing,,Medical-Simple,IoT-Simple,None,Show,1
R_3L6kOz6ZxqOccVX,124,I would like to  explain  in a simpler way and also include more examples of how TEE currently use technologies that we all use,,,,Gen:Untechnical,,Use:Real,,,,I would like to have informationexplained in a  simpler and more understandable way,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Show,1
R_6SvIWL7OhJDPz1e,125,I feel like I'd need to see a visual or graphic showing how it works for me personally to understand,,,,Gen:Visual,,,,,,I would need more information to make me feel completely safe,,,,,,,,,,,"This is the first I've heard of TEEs, so thank you for introducing me. I'll likely do some individual research to learn more.",,Medical-Simple,IoT-Complex,Trust,None,1
R_21jwN8YE21HrHuo,126,just more about the human interaction - set of unique user name /password know who accessing data,,,,Gen:Password,,,Scenario:People,,,whenever thiere is human interaction it is scary,Distrust:Vague,Risk:People,,,,,,,,,"No, but i'm glad i learned about TEES",,Medical-Complex,IoT-Complex,Hardware,Show,1
R_2K2Jegm3jYBaSJ3,127,"In this scenario, there is no explanation of TEEs at all, so I have all the questions you can have. I wouldn't even know what the letters stand for, if I hadn't just read the consent form.",,,,Gen:What?,,,,,,"I still have no idea what a TEE is, except that it somehow protects data. It sounds like some sort of encryption, but I really don't know what it is or how it works.",,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Simple,None,None,1
R_2co5KMjyggZzEYl,128,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Hide,1
R_3ah3mHgaz2fwaaH,129,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Complex,None,None,0
R_1VF1ZUxRQMVvV3m,130,How does TEE technology isolate the programs or data in the first place?,,,,Gen:Isolation,,,,,,"TEEs sounds interesting and reminds me of a virtual machine where it isolates software, but this seems interesting, I wonder how it works to form something secure from malware.",,,,Gen:Implementation,Gen:Tech,,,,,,,,Medical-Complex,IoT-Complex,Trust,None,0
R_7bjf5MhW7A9zf2h,131,Why exactly do they need my address?,,,,,,,Scenario:Data,,,Why exactly do they need my address?,,,,,,,,,,,I have no comments,,Medical-Complex,IoT-Complex,None,None,1
R_50ZDV8lqt3I63Ob,132,none,,,,,,,,,,none,,,,,,,,,,,no,,Medical-Simple,IoT-Simple,Hardware,Hide,1
R_5CzCJWzCmuLhxAt,133,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,0
R_7qvrgf8xHz1fhKS,134,No questions,,,,,,,,,,No questions,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Show,0
R_3MfyI75XnvT9WwN,135,None,,,,,,,,,,Nothing,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Hide,1
