ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN,FAQ,Med_First
R_6Iy10WMsjaSKVG1,299,I would like a bit more of an explanation of who can access the info and how it is stored.,,,,Gen:Implementation,,,Scenario:People,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,1
R_57WHvUUWJTnYghP,300,None. I would not use in this scenario,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Show,0
R_2WwehaFkwNvI6e9,301,none,,,,,,,,,,none,,,,,,,,,,,n/a,,Medical-Complex,IoT-Simple,Trust,Show,0
R_5CyyKMngr1WZTgI,302,none,,,,,,,,,,none,,,,,,,,,,,thanks,,Medical-Simple,IoT-Simple,Hardware,Hide,1
R_2f7tc2n647RHVQ6,303,None.,,,,,,,,,,"The more I read about it, the more I became confused.  Do TEEs make processors run faster?",,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_7qsrDhKJCsJZ9AZ,304,The technology behind it at.,,,,Gen:How?,,,,,,Nothing,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Hardware,Show,1
R_14NmsOn2QH4nsSM,305,gaining a deeper understanding of these aspects of TEEs would help in assessing their suitability for safeguarding sensitive data and ensuring trust in their use within research studies and other applications.,,,,Gen:How?,,,,,,standardization efforts can help ensure consistency and compatibility in TEE implementations.,,,,,,,,,,,none,,Medical-Simple,IoT-Simple,Unsubstantial,None,1
R_1g11QGDFTU6xez6,306,I am curious if I have used one before without being told the name.,,,,,,Use:Real,,,,No questions at this time,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,None,1
R_2sTFbTiISHObfi1,307,I really don't have any more questions about it. I feel very negative that information is not mishandled in some way shape or form or hacked. As a matter of fact I just received a letter yesterday saying my information was exposed by a hacker and it was AT&T which I should feel safe about right?,Distrust:Vague,Risk:Hacking,Risk:Real,,,,,,,I don't think it matters if someone wants your data they're going to get it but for the most part I think companies try hard to make sure that that doesn't happen. But not I am not convinced at all that information floating out there is safe,,,,,,,,,,,Regardless of my negativity I believe that companies really try hard to protect data and assure people that their data is safe. I just don't believe just because someone says they're protecting your data that it actually can not be hacked.,,Medical-Simple,IoT-Complex,Hardware,None,1
R_21RDHYWAVaRU3fq,308,No questions,,,,,,,,,,Where can I purchase?,,,,,,,Scenario:Misc,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Show,0
R_5nIubqs4bQagPB5,309,no question comes to mind,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,None,1
R_72OMfikqlWrnCI8,310,Nothing in particular.  I think that it is probably a good idea.,,,,,,,,,,How would the company profit from collecting my data.,Distrust:Scenario,,,,,,Scenario:Data,,,,Nothing in particular.,,Medical-Complex,IoT-Complex,Hardware,None,1
R_205XCDeCIy0SWNv,311,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,1
R_371qkkYCFm6khWY,312,,,,,,,,,,,It was well explained I don't have any questions.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Hide,0
R_1lMQ3NxoIAHVCPE,313,no,,,,,,,,,,none,,,,,,,,,,,no,,Medical-Complex,IoT-Simple,None,Hide,0
R_5tnvbdPcetyj3RT,314,No questions.,,,,,,,,,,No question.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,None,Show,0
R_6rG3SO8hBsDqqYt,315,,,,,,,,,,,"After reading the description, I'm still not sure how safe TEEs are. I believe that companies often try to put effort into safekeeping data, but there have been several leaks in the last few years. ",,Risk:Real,,,,,,,Guarantee:General,,"This was an interesting survey and I learned more about this topic, but I still don't feel confident in how much I understand TEEs.",,Medical-Complex,IoT-Simple,None,Hide,0
R_1PdEUY7dzY2gFIM,316,"I don't have specific questions about TEEs at this time, as the description provided in the scenario and in the answers to the FAQ seems quite complete.",,,,,,,,,,I would like to better understand how security updates and patches are managed in Trusted Execution Environments (TEEs). How do you ensure that these updates are done securely without compromising the integrity of the TEE or the data protected by it?,,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Hide,0
R_1q4alCJcER26EPv,317,no,,,,,,,,,,no,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Hide,0
R_5yLyXQ6njIOxtC1,318,"I don't have any questions, I mostly understand it.",,,,,,,,,,I don't have any questions.,,,,,,,,,,,Everything was smooth. I find it interesting to learn how PINs and such work.,,Medical-Complex,IoT-Simple,Hardware,Show,1
R_3jOCveTsQro8Nhq,319,No questions,,,,,,,,,,No questions,,,,,,,,,,,No comments.,,Medical-Simple,IoT-Complex,Unsubstantial,Show,1
R_8iPCaSiHHS7sbiQ,320,What protections against hackers into this system are there?,,Risk:Hacking,,,,,,,,no,,,,,,,,,,,no,,Medical-Simple,IoT-Complex,Trust,Show,1
R_5224ET6kbNcfjq1,321,None,,,,,,,,,,What protections does a TEE have. It’s isolated but it seems these days that anything can be hacked.,Distrust:Vague,Risk:Hacking,,Gen:How?,,,,,,,You actually educated me a little about TEEs.,,Medical-Simple,IoT-Complex,Unsubstantial,None,0
R_2HLbmP2oOatWfMj,322,Are TEEs  regularly tested for vulnerabilities? Who are the main vendors of TEEs and what is their reputation for security and safety?,,,,Gen:Answered,,,,,Guarantee:Testing,I never heard of TEEs till this study. Is there a common name of this technology? Does this technology slow down the system significantly?,,,,Gen:Misc,,Use:Real,,,,,Maybe the history of TEEs and how long they have been used would make TEEs more trusted.,,Medical-Simple,IoT-Simple,Trust,Show,1
R_50IUbYswWY79Nn3,323,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Hide,0
R_2nGUq0TMIRy9x2F,324,no questions,,,,,,,,,,No questions about TEEs in general,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,None,0
R_8b43mrgMwApy7sW,325,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,None,Hide,1
R_1CfR0aofwfWqwe4,326,Nope,,,,,,,,,,Nope,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,None,0
R_28NdY33hRilOgey,327,I think I understand it pretty well,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,None,1
R_2HugklosnmgLmAY,328,The ways in which TEEs behave puts me at ease when it comes to feeling that my data will be safe and protected.,,,,,,,,,,The fact that TEEs protect programs and data even when other software on the computer is acting maliciously is what puts my mind at ease that my data will be safe.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,None,0
R_21ToDeqhPQTY74t,329,n/a,,,,,,,,,,n/a,,,,,,,,,,,n/a,,Medical-Complex,IoT-Simple,Unsubstantial,None,0
R_3qvAt7olpNlWl9O,330,None,,,,,,,,,,"The idea seems so abstract, more information or an example might be helpful",,,,Gen:How?,,Use:Real,,,,,No,,Medical-Simple,IoT-Simple,None,Hide,0
R_1qjW65lkqYC7fdg,331,"Seems like a program is safe to use and secure to a point. Data is collected and saved, then used. ",,,,,,,,,,Program seems safe and is working as good as programmed by the human creators.,,,,,,,,,,,"Thank you. Words read well on my Android Smartphone. No technical issues either. This project was a bit technical in reading nature, I had to reread paragraphs to try to understand all the written language. Have a good day.",,Medical-Complex,IoT-Simple,Hardware,Show,1
R_3tg6hGEvXMOerqA,332,Just who gets access to information on my chart.,,,,,,,Scenario:People,,,How long the information is stored. What one would have to do to remove their information.,,,,,,,Scenario:Data,,,,Best of luck with your study.,,Medical-Complex,IoT-Complex,None,Show,0
