"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status"
"A","IoTComplex","combined_IoT_ExperienceTRUE",-0.596635394018321,0.550661280925756,"[0.029, 3.360]",0.0285408929204218,3.3597751122369,0.58731251002209,1,""
"A","IoTComplex","combined_CS_ExperienceTRUE",-0.793355130265476,0.452324638461974,"[0.104, 2.324]",0.104093194510393,2.32404979841906,0.298451132170602,0.596902264341203,""
"B","MedicalSimple","EXPLN_S1Hardware",-0.962872740939769,0.381794512332863,"[0.090, 1.459]",0.0898167562360301,1.45899045980177,0.164655455700014,0.619874893668112,""
"B","MedicalSimple","EXPLN_S1Trust",-0.6164055577577,0.539881527097742,"[0.129, 2.047]",0.12887291846648,2.04715742591033,0.369202242936944,0.738404485873888,""
"B","MedicalSimple","EXPLN_S2Untechnical",2.13690282650955,8.47315411928314,"[2.177, 56.657]",2.17710218698325,56.6566623403292,0.0069802421651793,0.0279209686607172,"Stayed significant"
"B","MedicalSimple","EXPLN_S3Prevents",0.0972073026741066,1.10208881590048,"[0.378, 3.222]",0.37767020671934,3.22191443785599,0.856725503026601,1,""
"B","MedicalSimple","combined_Medical_ExperienceTRUE",-0.0775516534926159,0.925379224093203,"[0.290, 3.556]",0.289680516482662,3.55589785348058,0.901086843091743,0.901086843091743,""
"B","MedicalSimple","combined_CS_ExperienceTRUE",0.489457250772354,1.63143052196542,"[0.394, 11.176]",0.393890437430087,11.1761069854,0.547088610425541,1,""
"B","MedicalComplex","EXPLN_S1Hardware",1.59579201420287,4.93223392488596,"[0.742, 97.143]",0.742306700362285,97.143104223063,0.154968723417028,0.619874893668112,""
"B","MedicalComplex","EXPLN_S1Trust",-0.782851096485179,0.457100912902409,"[0.136, 1.341]",0.136068913160544,1.3410773965346,0.171411448167107,0.514234344501322,""
"B","MedicalComplex","EXPLN_S2Untechnical",0.467475358809105,1.59595987671561,"[0.572, 4.734]",0.571613987572977,4.73397303429221,0.379279393889549,0.379279393889549,""
"B","MedicalComplex","EXPLN_S3Prevents",-0.930534696204112,0.394342800391755,"[0.119, 1.130]",0.1194731886978,1.13036687318183,0.0976674756995624,0.39066990279825,""
"B","MedicalComplex","combined_Medical_ExperienceTRUE",0.785075532705566,2.19257254541536,"[0.621, 10.653]",0.620668778326511,10.6529995824195,0.266063245628759,0.532126491257518,""
"B","MedicalComplex","combined_CS_ExperienceTRUE",-0.823494592405669,0.438895211575454,"[0.151, 1.347]",0.150703087155576,1.34721914823036,0.135190799135548,0.540763196542191,""
"B","IoTSimple","EXPLN_S1Hardware",-0.650309211329267,0.521884379246701,"[0.141, 1.789]",0.141282238519295,1.78940385602806,0.305345919007432,0.619874893668112,""
"B","IoTSimple","EXPLN_S1Trust",-0.461540321377247,0.630312014316898,"[0.180, 2.016]",0.180454079463412,2.01637094788294,0.44354583595817,0.738404485873888,""
"B","IoTSimple","EXPLN_S2Untechnical",0.944921058048949,2.57261028369699,"[0.905, 8.186]",0.904567093174759,8.18572708941962,0.0882377155095916,0.264713146528775,""
"B","IoTSimple","EXPLN_S3Prevents",-0.00227640744471748,0.997726181605759,"[0.372, 2.628]",0.37221649652947,2.62816396169184,0.99631330498511,1,""
"B","IoTSimple","combined_IoT_ExperienceTRUE",-1.46344965674609,0.231436519531507,"[0.013, 1.198]",0.0125824349350832,1.1984504421384,0.163354465387454,0.307182013304496,""
"B","IoTSimple","combined_CS_ExperienceTRUE",0.412017510569699,1.50986087462135,"[0.466, 6.794]",0.466387310031121,6.79388042833627,0.533153720143607,1,""
"B","IoTComplex","EXPLN_S1Hardware",-0.102143686405731,0.902899807919759,"[0.236, 3.446]",0.235894389320873,3.44563068045941,0.878138806134355,0.878138806134355,""
"B","IoTComplex","EXPLN_S1Trust",-1.05773874381382,0.347240122105129,"[0.104, 1.013]",0.103582853684715,1.01330495988841,0.0637967218507501,0.255186887403001,""
"B","IoTComplex","EXPLN_S2Untechnical",0.707862689534343,2.02964863026826,"[0.802, 5.483]",0.802181155764045,5.48272942366461,0.143837125675123,0.287674251350245,""
"B","IoTComplex","EXPLN_S3Prevents",0.54293518040003,1.72105105107382,"[0.685, 4.591]",0.685441535269674,4.59115779056993,0.256947612340893,0.770842837022678,""
"B","IoTComplex","combined_IoT_ExperienceTRUE",0.726552880687871,2.06793987179236,"[0.724, 5.477]",0.723931934260528,5.47733082990938,0.153591006652248,0.307182013304496,""
"B","IoTComplex","combined_CS_ExperienceTRUE",-0.460019026890337,0.6312716342565,"[0.234, 1.891]",0.234163009105045,1.89149334721414,0.380135812872874,1,""
