"Question","Scenario","term","estimate","OR","CI","OR_low","OR_high","p.value","q_value","Status","R2_Nagelkerke"
"willingness","MedicalComplex","Maybe would|Definitely would",1.34127774250348,3.8239263784387,"[NA, NA]",NA,NA,5.57241186725245e-05,7.42988248966994e-05,"Stayed significant",0.0362647725317284
"willingness","MedicalComplex","EXPLNUnsubstantial",-0.0102397076583472,0.989812539663614,"[0.486, 2.014]",0.486369936124944,2.01358086509927,0.977426117307707,0.977426117307707,"",0.0362647725317284
"willingness","MedicalComplex","EXPLNHardware",0.186535002069868,1.20506680117989,"[0.610, 2.387]",0.610031406172709,2.38711009324857,0.591439287818488,0.966902497265123,"",0.0362647725317284
"willingness","MedicalComplex","EXPLNTrust",-0.368419627839671,0.691826810979057,"[0.345, 1.379]",0.345346515495864,1.3794613631002,0.296311226543475,0.962385727758546,"",0.0362647725317284
"willingness","MedicalComplex","FAQHide",-0.281037002150198,0.755000398325205,"[0.419, 1.358]",0.41862405516231,1.35801036760048,0.34853798790024,0.48595454362686,"",0.0362647725317284
"willingness","MedicalComplex","FAQShow",0.421871447824996,1.52481249412088,"[0.840, 2.782]",0.839580363667886,2.78237124386235,0.166933768929165,0.573741073476259,"",0.0362647725317284
"willingness","MedicalComplex","combined_Medical_ExperienceTRUE",-0.00198062047537589,0.99802133965905,"[0.576, 1.729]",0.576109418535755,1.72942739739517,0.994356035604626,0.994356035604626,"",0.0362647725317284
"willingness","MedicalComplex","combined_CS_ExperienceTRUE",0.21494059314819,1.23978824286188,"[0.700, 2.201]",0.700081539214169,2.20062436959609,0.461200294416972,0.800920650606247,"",0.0362647725317284
"willingness","IoTSimple","Would not|Maybe would",0.328793201646686,1.38929052288626,"[NA, NA]",NA,NA,0.492368992944386,0.656491990592515,"",0.119770903933587
"willingness","IoTSimple","Maybe would|Definitely would",3.20457811863634,24.6451005143199,"[NA, NA]",NA,NA,1.03825294845626e-09,4.15301179382504e-09,"Stayed significant",0.119770903933587
"willingness","IoTSimple","EXPLNUnsubstantial",-0.207366860865855,0.812721439599025,"[0.395, 1.667]",0.395068401799987,1.66700827536623,0.571716155580147,0.762288207440196,"",0.119770903933587
"willingness","IoTSimple","EXPLNHardware",0.46019100074529,1.58437657320258,"[0.791, 3.195]",0.791065135724643,3.19526183995852,0.195541266811879,0.782165067247516,"",0.119770903933587
"willingness","IoTSimple","EXPLNTrust",-0.135492511906097,0.873285702149338,"[0.427, 1.783]",0.42714931644414,1.78259385878058,0.709611387245241,0.962385727758546,"",0.119770903933587
"willingness","IoTSimple","FAQHide",0.525259007761873,1.69089674704908,"[0.943, 3.052]",0.943235263844431,3.05180079875214,0.0790384818824517,0.316153927529807,"",0.119770903933587
"willingness","IoTSimple","FAQShow",0.317855325343135,1.37417743819624,"[0.737, 2.571]",0.736810916217068,2.57138159817839,0.318006326158903,0.573741073476259,"",0.119770903933587
"willingness","IoTSimple","combined_IoT_ExperienceTRUE",1.82729885751533,6.217070763715,"[2.782, 14.287]",2.7818117680593,14.2870401557644,1.08982389837027e-05,2.17964779674054e-05,"Stayed significant",0.119770903933587
"willingness","IoTSimple","combined_CS_ExperienceTRUE",0.126184959923543,1.13449198442934,"[0.624, 2.061]",0.62437060926726,2.06078872343026,0.678130174462495,0.800920650606247,"",0.119770903933587
"willingness","IoTComplex","Would not|Maybe would",0.1904171122776,1.20975409571997,"[NA, NA]",NA,NA,0.665089900554504,0.665089900554504,"",0.0771050850656042
"willingness","IoTComplex","Maybe would|Definitely would",2.47934515310168,11.9334472776774,"[NA, NA]",NA,NA,1.16107058817102e-07,2.32214117634205e-07,"Stayed significant",0.0771050850656042
"willingness","IoTComplex","EXPLNUnsubstantial",0.446454975936623,1.56276232406206,"[0.803, 3.057]",0.802826654328533,3.05695491180403,0.189874369044778,0.699690076786486,"",0.0771050850656042
"willingness","IoTComplex","EXPLNHardware",-0.0145947903289702,0.985511197374129,"[0.494, 1.966]",0.494168651898938,1.96611238363652,0.966902497265123,0.966902497265123,"",0.0771050850656042
"willingness","IoTComplex","EXPLNTrust",0.0366486388195674,1.03732847983996,"[0.524, 2.057]",0.52373192255065,2.0566060295013,0.916225320009438,0.962385727758546,"",0.0771050850656042
"willingness","IoTComplex","FAQHide",-0.284240905844816,0.752585320663592,"[0.406, 1.390]",0.406241423682843,1.39034120625603,0.364465907720145,0.48595454362686,"",0.0771050850656042
