"Question","Scenario","term","p.value","q_value","Status"
"Q4","IoTComplex","EXPLNTrust",0.0363123149479275,0.04841641993057,"Stayed significant"
"Q4","IoTComplex","FAQHide",0.668432917223692,0.668432917223692,""
"Q4","IoTComplex","FAQShow",0.514207970381999,0.607874849237962,""
"Q4","IoTComplex","combined_IoT_ExperienceTRUE",0.249410271442468,0.249410271442468,""
"Q4","IoTComplex","combined_CS_ExperienceTRUE",0.0830376771948399,0.110716902926453,""
"Q5","MedicalSimple","EXPLNUnsubstantial",0.0506416770446472,0.202566708178589,""
"Q5","MedicalSimple","EXPLNHardware",0.372218487238454,0.672516501484479,""
"Q5","MedicalSimple","EXPLNTrust",0.5247254402355,0.5247254402355,""
"Q5","MedicalSimple","FAQHide",0.697680750253543,0.781487214259984,""
"Q5","MedicalSimple","FAQShow",0.591980137127841,0.591980137127841,""
"Q5","MedicalSimple","combined_Medical_ExperienceTRUE",0.0973771682859066,0.194754336571813,""
"Q5","MedicalSimple","combined_CS_ExperienceTRUE",0.477886923118844,0.680942251245279,""
"Q5","MedicalComplex","EXPLNUnsubstantial",0.165588878245257,0.220785170993676,""
"Q5","MedicalComplex","EXPLNHardware",0.12686128979542,0.507445159181681,""
"Q5","MedicalComplex","EXPLNTrust",0.0456426741474731,0.182570696589892,"Lost significance"
"Q5","MedicalComplex","FAQHide",0.0393542551421805,0.157417020568722,"Lost significance"
"Q5","MedicalComplex","FAQShow",0.477649497033206,0.591980137127841,""
"Q5","MedicalComplex","combined_Medical_ExperienceTRUE",0.216232080847556,0.216232080847556,""
"Q5","MedicalComplex","combined_CS_ExperienceTRUE",0.0804752758004379,0.321901103201752,""
"Q5","IoTSimple","EXPLNUnsubstantial",0.911084750964666,0.911084750964666,""
"Q5","IoTSimple","EXPLNHardware",0.504387376113359,0.672516501484479,""
"Q5","IoTSimple","EXPLNTrust",0.290608420808167,0.443843004844137,""
"Q5","IoTSimple","FAQHide",0.781487214259984,0.781487214259984,""
"Q5","IoTSimple","FAQShow",0.25694604558409,0.569425383690758,""
"Q5","IoTSimple","combined_IoT_ExperienceTRUE",0.943898934434528,0.943898934434528,""
"Q5","IoTSimple","combined_CS_ExperienceTRUE",0.607053817077457,0.680942251245279,""
"Q5","IoTComplex","EXPLNUnsubstantial",0.137114371401709,0.220785170993676,""
"Q5","IoTComplex","EXPLNHardware",0.926010687666093,0.926010687666093,""
"Q5","IoTComplex","EXPLNTrust",0.332882253633102,0.443843004844137,""
"Q5","IoTComplex","FAQHide",0.588912197843888,0.781487214259984,""
"Q5","IoTComplex","FAQShow",0.284712691845379,0.569425383690758,""
"Q5","IoTComplex","combined_IoT_ExperienceTRUE",0.207772019775339,0.415544039550677,""
"Q5","IoTComplex","combined_CS_ExperienceTRUE",0.680942251245279,0.680942251245279,""
"Q6","MedicalSimple","EXPLNUnsubstantial",0.511556662075303,0.921620096448783,""
"Q6","MedicalSimple","EXPLNHardware",0.63053469366522,0.9692978196658,""
"Q6","MedicalSimple","EXPLNTrust",0.837415875034957,0.837415875034957,""
"Q6","MedicalSimple","FAQHide",0.170342149154118,0.42843519677389,""
"Q6","MedicalSimple","FAQShow",0.0536282025487009,0.107256405097402,""
"Q6","MedicalSimple","combined_Medical_ExperienceTRUE",0.92258010904711,0.92258010904711,""
"Q6","MedicalSimple","combined_CS_ExperienceTRUE",0.819612694667459,0.942020335975256,""
"Q6","MedicalComplex","EXPLNUnsubstantial",0.0692044463688211,0.276817785475284,""
"Q6","MedicalComplex","EXPLNHardware",0.259401714660908,0.9692978196658,""
"Q6","MedicalComplex","EXPLNTrust",0.212012031842578,0.559281036816213,""
"Q6","MedicalComplex","FAQHide",0.321126590284866,0.42843519677389,""
"Q6","MedicalComplex","FAQShow",0.112274452457586,0.149699269943447,""
"Q6","MedicalComplex","combined_Medical_ExperienceTRUE",0.578593266953309,0.92258010904711,""
"Q6","MedicalComplex","combined_CS_ExperienceTRUE",0.942020335975256,0.942020335975256,""
"Q6","IoTSimple","EXPLNUnsubstantial",0.691215072336587,0.921620096448783,""
"Q6","IoTSimple","EXPLNHardware",0.9692978196658,0.9692978196658,""
"Q6","IoTSimple","EXPLNTrust",0.321104821691059,0.559281036816213,""
"Q6","IoTSimple","FAQHide",0.900205581093798,0.900205581093798,""
"Q6","IoTSimple","FAQShow",0.0529285205819176,0.107256405097402,""
"Q6","IoTSimple","combined_IoT_ExperienceTRUE",0.969807681977094,0.969807681977094,""
"Q6","IoTSimple","combined_CS_ExperienceTRUE",0.649868202670309,0.942020335975256,""
"Q6","IoTComplex","EXPLNUnsubstantial",0.978373409543764,0.978373409543764,""
"Q6","IoTComplex","EXPLNHardware",0.821564280494209,0.9692978196658,""
"Q6","IoTComplex","EXPLNTrust",0.41946077761216,0.559281036816213,""
"Q6","IoTComplex","FAQHide",0.321326397580417,0.42843519677389,""
"Q6","IoTComplex","FAQShow",0.452390878057657,0.452390878057657,""
"Q6","IoTComplex","combined_IoT_ExperienceTRUE",0.194252658932141,0.388505317864282,""
"Q6","IoTComplex","combined_CS_ExperienceTRUE",0.609255153876247,0.942020335975256,""
"Q7","MedicalSimple","EXPLNUnsubstantial",0.962841786282209,0.962841786282209,""
"Q7","MedicalSimple","EXPLNHardware",0.744359327328165,0.779302459914265,""
"Q7","MedicalSimple","EXPLNTrust",0.590501174920875,0.590501174920875,""
"Q7","MedicalSimple","FAQHide",0.730904759705946,0.822247491260122,""
"Q7","MedicalSimple","FAQShow",0.343933194906959,0.343933194906959,""
"Q7","MedicalSimple","combined_Medical_ExperienceTRUE",0.150848729329892,0.218826572754557,""
"Q7","MedicalSimple","combined_CS_ExperienceTRUE",0.55165927687882,0.592243977465827,""
"Q7","MedicalComplex","EXPLNUnsubstantial",0.610546354906934,0.958559670368941,""
"Q7","MedicalComplex","EXPLNHardware",0.368668862570853,0.737337725141707,""
"Q7","MedicalComplex","EXPLNTrust",0.51830352252945,0.590501174920875,""
"Q7","MedicalComplex","FAQHide",0.00674621533980033,0.0269848613592013,"Stayed significant"
"Q7","MedicalComplex","FAQShow",0.123739608301042,0.247479216602083,""
"Q7","MedicalComplex","combined_Medical_ExperienceTRUE",0.218826572754557,0.218826572754557,""
"Q7","MedicalComplex","combined_CS_ExperienceTRUE",0.19592500696521,0.39185001393042,""
"Q7","IoTSimple","EXPLNUnsubstantial",0.698373689870497,0.958559670368941,""
"Q7","IoTSimple","EXPLNHardware",0.278167839542119,0.737337725141707,""
"Q7","IoTSimple","EXPLNTrust",0.415525505509654,0.590501174920875,""
"Q7","IoTSimple","FAQHide",0.822247491260122,0.822247491260122,""
"Q7","IoTSimple","FAQShow",0.252750005952033,0.337000007936043,""
"Q7","IoTSimple","combined_IoT_ExperienceTRUE",0.910944336801414,0.910944336801414,""
"Q7","IoTSimple","combined_CS_ExperienceTRUE",0.0500581363554412,0.200232545421765,""
"Q7","IoTComplex","EXPLNUnsubstantial",0.718919752776706,0.958559670368941,""
"Q7","IoTComplex","EXPLNHardware",0.779302459914265,0.779302459914265,""
"Q7","IoTComplex","EXPLNTrust",0.550742911121128,0.590501174920875,""
"Q7","IoTComplex","FAQHide",0.523086003869738,0.822247491260122,""
"Q7","IoTComplex","FAQShow",0.0306136665796691,0.122454666318676,"Lost significance"
"Q7","IoTComplex","combined_IoT_ExperienceTRUE",0.126545740599161,0.253091481198322,""
"Q7","IoTComplex","combined_CS_ExperienceTRUE",0.592243977465827,0.592243977465827,""
"Q8","MedicalSimple","EXPLNUnsubstantial",0.498914982677508,0.665219976903344,""
"Q8","MedicalSimple","EXPLNHardware",0.24646147101533,0.716686119807409,""
"Q8","MedicalSimple","EXPLNTrust",0.695185574387062,0.709334646134308,""
"Q8","MedicalSimple","FAQHide",0.815586619910233,0.954127652244156,""
"Q8","MedicalSimple","FAQShow",0.564934006089974,0.753245341453299,""
"Q8","MedicalSimple","combined_Medical_ExperienceTRUE",0.717745207050103,0.717745207050103,""
"Q8","MedicalSimple","combined_CS_ExperienceTRUE",0.690855251775397,0.763156955447641,""
"Q8","MedicalComplex","EXPLNUnsubstantial",0.0178867292378824,0.0715469169515297,"Lost significance"
"Q8","MedicalComplex","EXPLNHardware",0.358343059903705,0.716686119807409,""
"Q8","MedicalComplex","EXPLNTrust",0.0927959999577476,0.37118399983099,""
"Q8","MedicalComplex","FAQHide",0.540414540972735,0.954127652244156,""
"Q8","MedicalComplex","FAQShow",0.838524547457006,0.838524547457006,""
"Q8","MedicalComplex","combined_Medical_ExperienceTRUE",0.071037699162271,0.142075398324542,""
"Q8","MedicalComplex","combined_CS_ExperienceTRUE",0.763156955447641,0.763156955447641,""
"Q8","IoTSimple","EXPLNUnsubstantial",0.884824537324487,0.884824537324487,""
"Q8","IoTSimple","EXPLNHardware",0.760598279021713,0.760598279021713,""
"Q8","IoTSimple","EXPLNTrust",0.709334646134308,0.709334646134308,""
"Q8","IoTSimple","FAQHide",0.0897050865109722,0.358820346043889,""
"Q8","IoTSimple","FAQShow",0.509943362676525,0.753245341453299,""
"Q8","IoTSimple","combined_IoT_ExperienceTRUE",0.469923938311681,0.469923938311681,""
"Q8","IoTSimple","combined_CS_ExperienceTRUE",0.00698339692023172,0.0279335876809269,"Stayed significant"
"Q8","IoTComplex","EXPLNUnsubstantial",0.239589726413364,0.479179452826729,""
"Q8","IoTComplex","EXPLNHardware",0.611100970519217,0.760598279021713,""
"Q8","IoTComplex","EXPLNTrust",0.651363820655474,0.709334646134308,""
"Q8","IoTComplex","FAQHide",0.954127652244156,0.954127652244156,""
"Q8","IoTComplex","FAQShow",0.253970378194275,0.753245341453299,""
"Q8","IoTComplex","combined_IoT_ExperienceTRUE",0.0376374931264145,0.075274986252829,"Lost significance"
"Q8","IoTComplex","combined_CS_ExperienceTRUE",0.108510807137784,0.217021614275567,""
"Q9","MedicalSimple","EXPLNUnsubstantial",0.0477247950470219,0.0636330600626958,"Lost significance"
