ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_5p9DujQmRP3Oe3N,239,What guarantees are there? It sounds good but there is a bit of a concern.,Distrust:Vague,,,,,,,,Guarantee:General,Same,,,,,,,,,,,No,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_3wmGySo0FCbmm1h,240,What incentive is there for the patient to provide personal data?,,,,,,,Scenario:Incentive,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Simple,Hardware,Technical,Prevents
R_1D7pcdNbURwTRm0,241,same,,,,,,,,,,If TEE is another term for sandboxing.,,,,Gen:Tech,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_1W8pjJAMeJGeYiB,242,None.,,,,,,,,,,same,,,,,,,,,,,cool. now i will look this up.,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_3zI4RirL5NYV33z,243,"I don't trust my information will be secure, especially with the words trusted environment.",Distrust:TEE,,,,,,,,,I just don't trust my information to be safe.,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_7In53kUmQfUZxlL,244,,,,,,,,,,,,,,,,,,,,,,"Thank you so much! I enjoyed participating, I learned something new about TEE protections :) I would trust my data to be stored on a TEE but medical data I'm uncomfortable sharing, having TEE makes me feel better, but generally I still wouldn't be willing to share this kind of data because of how sensitive it is. Thanks again!",,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_63BcWe4m0WrHlcJ,245,None,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_7RravanmOHr5xWF,246,"Since people (authorized users) can access the TEE, I'd be concerned about hacking techniques that take advantage of human errors. Also could I take out my identifying info beforehand?",,Risk:Hacking,Risk:People,,,,Scenario:Data,,,Why should I trust the TEE to keep my data safe when the goal is profit?,Distrust:Scenario,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_3NfskA8Ovklri4C,247,How susceptible are TEEs to hackers? I took 'completely safe' above as 'extremely safe' since absolutes are rarely applicabl.e.,,Risk:Hacking,,,,,,,,How much is it going to affect the cost of a device?,,,,,,,Scenario:Misc,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_6Nf5Tz4f3PNCUVA,248,"I don't know that it's a question, just not assured that even though it's in a ""protected"" area of the computer, that it's truly protected.",Distrust:TEE,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Technical,No Prevents
R_1izfMAswCCDZEnN,249,None,,,,,,,,,,Same,,,,,,,,,,,No,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_72RVfy94iFgyB69,250,same,,,,,,,,,,"Who are those few people who would have access to my information.
And how long will my data be kept.",,,,Gen:Answered,,,Scenario:Data,,,,"It seems like a good idea but not the safest to protect our information from being stolen or used against us, unless the are laws that protects us in situations like this.",,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,Prevents
R_19n6U8YqJ8pPRPA,251,no questions,,,,,,,,,,same,,,,,,,,,,,no,,Medical-Complex,IoT-Simple,Hardware,Technical,Prevents
R_6wzCEZYUR64lE7E,252,Same,,,,,,,,,,I am not sure what level of cryptography or security measures are in place to actually protect me.,,,,Gen:Encryption,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_5qC8PuzvLD6OEkj,253,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_5IgxKAkLh1mrvWR,254,It would be nice to know the specifics of how the TEE works.,,,,Gen:How?,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_3SYXByP4q8RrykF,255,I would want to learn more about the weaknesses of TEEs.,,Risk:General,,,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_19stRKpG4OVbm0N,256,Same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,No Prevents
R_7U3BpwJHfcfJBb4,257,Same,,,,,,,,,,How is it kept separate and the rest of the computer?,,,,Gen:Isolation,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_6BmTZP291r3d0Wc,258,same,,,,,,,,,,"How secure and well tested are TEE's for hacks such as backdoors, etc.?  Not sure what the current state of 'hacking' is, but it always seems that as more attention is paid to cyber security, there's always some effort that still gets beyond any safeguards.",Distrust:Vague,Risk:Hacking,,,,,,,Guarantee:Testing,,Thanks for the survey.,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,Prevents
R_3KDYxGFxUzPHePF,259,same,,,,,,,,,,"None, this pretty much makes sense.",,,,,,,,,,, ,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_64HkTjAVVRiHku5,260,same,,,,,,,,,,I would wonder if there is a person or team that is in charge of the TEEs. I would wonder if there is a possibility that the TEE program could be hacked and my data compromised.,,Risk:Hacking,,,,,Scenario:People,,,,"The whole concept of TEEs is very interesting and is something I would like to learn more about. As someone who is worried about their data and online privacy, TEEs are something that would be beneficial to me. Thank you!",,Medical-Complex,IoT-Simple,Hardware,Technical,No Prevents
R_5PjzKhZcom7qpLl,261,What guarantees do I have that my personal data is actually safe?,,,,,,,,,Guarantee:General,"Same, and also what guarantees do I have that the smart device isn’t listening to me at all times collecting data?",Distrust:Scenario,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_4ERxNml4Z3g86M0,262,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_6ruEloTJwgmS2ym,263,same,,,,,,,,,,I think I'm satisfied.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_7BqVUaLp7duVeWH,264,Same,,,,,,,,,,None,,,,,,,,,,,None,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_3LXqLrFASXbvhl5,265,what guarantees do they provide?,,,,,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_7NDEHPqQVEwWJoX,266,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_6mA6wacQ44aPejD,267,No questions,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_5tlGchsxAZxLb92,268,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_5M2Jflom1RtruPn,269,none,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_34AV4MkRLl2atwf,270,same,,,,,,,,,,How do TEEs guarantee that you are the authorized user?,,,,Gen:Auth,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_5w51plaKOsuThnV,271,"I want to know how the TEE is isolated from other programs, wouldn't it be better to run the program on a separate system vs isolated program?",,,,Gen:Isolation,Gen:Misc,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,No Prevents
R_3I5g06gKcSxuiSV,272,same,,,,,,,,,,"If the program is entirely local, or hosted by another third party.",,,,Gen:Misc,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_795ExzJFWG9wH4P,273,"How long will the data be held, what level of encryption will the data be stored under.",,,,Gen:Encryption,,,Scenario:Data,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_73fjFzkgUeEOmFc,274,"All systems seem to get breached these days, even the most secure. What is done if/when this happens? Compensation? ID services?",Distrust:Vague,Risk:Fail,,,,,Sceanrio:Fail,,,Same.,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_1MrN1fBUIi3XY0e,275,no questions,,,,,,,,,,why do you need my address to use the smartlight bulb,,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_6Avm5PtXQQJeNm9,276,same,,,,,,,,,,I have no questions.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_3FLEYhHGnm4KqLG,277,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_6CxWiol3O6GiiTA,278,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Technical,Prevents
R_3jdppjYTX6hsrM8,279,what type of verification was done to prove the security of this method?,,,,,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_5FGNf67jQDOYqxX,280,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_7Qby6kqmVxwwLs7,281,Would there be password protection?,,,,Gen:Password,,,,,,Is the TEE put on a partitioned part of a hard drive?,,,,Gen:Implementation,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_58OkQE4me6T0RFI,282,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_1R7PBOYP0Jqvcbv,283,How exactly data is stored in TEEs?,,,,Gen:Implementation,,,,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_63sfl6B8FFPM2M9,284,I have no questions,,,,,,,,,,same,,,,,,,,,,,I have no other feedback to share,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_17A5ghNOMhiMzip,285,none at this moment.,,,,,,,,,,Is it really safe if a member of the research team could sell it on the dark web??,,Risk:People,,,,,,,,,"No, but thank you.",,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_6toA7Bt3TlZl6Q9,286,N/A,,,,,,,,,,same,,,,,,,,,,,N/A,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_7NypwLnUHaQHZPe,287,I don't have any questions.,,,,,,,,,,same,,,,,,,,,,,This study was very engaging.,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_1O75iTJCG81RaPn,288,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_5BvKvYD9Oximrbr,289,"How does one go about looking into this, but first, is the information on the survey, exists?",,,,,,Use:Real,,,,"This was a very good survey, may have to look into it.",,,,,,,,,,,This survey has me wanting to know more about TEEs,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_7mXjRXovOjuazOd,290,same,,,,,,,,,,None,,,,,,,,,,,no,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_5V2Tj01vchsEW6k,291,None,,,,,,,,,,none,,,,,,,,,,,n/a,,Medical-Complex,IoT-Simple,Hardware,Untechnical,No Prevents
R_6wkibX0jJGvDQyZ,292,Same,,,,,,,,,,"Is there any way an employee can steal data from that protected area, or what steps are taken to prevent malicious behavior from bad egg employees",,Risk:People,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_1BbNsDoEUZByxhe,293,I am not so concerned about my data. How much does the study pay?,,,,,,,Scenario:Incentive,,,"I don't think the researchers are motivated by profit like the AI assistant company would be. The data might be safe, but they will sell it and use it for other purposes to increase their profits. What are they going to use it for?",Distrust:Scenario,,,,,,Scenario:Data,Scenario:Future,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,Prevents
R_6qqRCVnmRGcRAar,294,To what degree do the small group of developers have full access to my data and what would keep them from misusing that data should one decide to.,,Risk:People,,,,,Scenario:Data,,,Is this essentially an encrypted partition?,,,,Gen:Encryption,Gen:Tech,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_6AF79SpUtgBc1X3,295,Who the authorized people are and if they can extract the data,,Risk:People,,Gen:Answered,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_7pR67Wh8tWI8YgF,296,Can a TEE prevent unauthorized access to my personal health information?,,,,Gen:Diff,,,,,,same,,,,,,,,,,,no feedback ,,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_5WUPnMyzHwcHSAV,297,same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_60Y8XxjLL58tyZR,298,Same,,,,,,,,,,Is there any way someone could breach it?,,Risk:General,,,,,,,,,Not at the moment.,,Medical-Complex,IoT-Complex,Hardware,Technical,Prevents
R_1XPhQ4UkSum4aGJ,299,Same.,,,,,,,,,,How does a TEE differ from other standard encryption methods?,,,,Gen:Encryption,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_7kcCEnqpLgbVLZG,300,"Who is authorized to access the data? Is there any history of data breaches and, if so, what has been done to prevent future data breaches?",,,,Gen:Answered,,Use:Breaches,Scenario:People,,,"Why collect my data? Is it used to improve my consumer experience, or to sell?",,,,,,,Scenario:Data,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_7L5YN598zJHSkR2,301,none,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,No Prevents
R_3e3kdkIpLRMzwEc,302,none,,,,,,,,,,None,,,,,,,,,,,none,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_3I8jjimAbZ6vbAl,303,What would the TEE do with the information once all studies have been completed?,,,,,,,Scenario:Future,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_7MtuGHHVedwgxpf,304,same,,,,,,,,,,I'd like to hear more about how reliable the isolation is from the rest of the system and the details of how that works.,,,,Gen:Isolation,,,,,Guarantee:Reliable,,,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_7JezwAaVCHDN1fG,305,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_7dMn5oIqIXYYHy1,306,Same,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_3BLCTmMXyjgdIQ1,307,What makes the other software on the computer behave maliciously if the TEE is suppose to protect the program and data at the same time?,,,,Gen:Misc,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,Prevents
R_7l66QOldk1iCe2P,308,None come to mind.,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_3xXW4BiZUYTgAoN,309,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_5ptJITUun4fBDk5,310,same,,,,,,,,,,n/a,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_3C1Zm4cBu5szfpL,311,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_7GfzXGpIUq96GV4,312,N/A,,,,,,,,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,Prevents
R_6cuzQZ7m3I5eqUU,313,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_3MT0zdYK4ZnSKCY,314,"If there is an internal data breach, will personal data be accessible outside the subject computer system?",,Risk:Fail,Risk:People,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_5FldNW0TInNtmJF,315,same,,,,,,,,,,No questions,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_3m8fUch8vdPjNct,316,How long is the data stored?,,,,,,,Scenario:Data,,,How long is the data stored?,,,,,,,Scenario:Data,,,,It was fun to learn about something completely new (to me) that has so much potential for product or service development. Thanks!,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_6AXLRIBb9mxCmJO,317,What if the bad actors get into it? Is it encrypted?,,Risk:Fail,,Gen:Encryption,,,,,,Not comfortable with AI in this scenario -- questions about TEEs remain the same,Distrust:Scenario,,,,,,,,,,Thank you!,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
R_6kp0GuiXXMIdvCV,318,how secured are the information,,,,,,,,,Guarantee:General,same,,,,,,,,,,,interesting survey,,Medical-Simple,IoT-Complex,Unsubstantial,Technical,No Prevents
R_69sldsTww1fiyOh,319,What protections would be in place if someone still gains my info.,,Risk:Fail,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_7DNKpeSFwoz5Qkg,320,Are they free to te customer?,,,,,,,Scenario:Misc,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_5yBWzDmzT3dB4Zz,321,"how is the TEE ""unlocked"" or accessed?",,,,Gen:Auth,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_52PiMf40idUY1px,322,Same,,,,,,,,,,How exactly does it protect my info,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Untechnical,No Prevents
R_6fDlkDG2pdetNK1,323,same,,,,,,,,,,None,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_51aZdD7Sfn9xMr9,324,same,,,,,,,,,,I would like to understand how it works and see reliability data.,,,,Gen:How?,,,,,Guarantee:Reliable,,Thank you!,,Medical-Complex,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_3PQWsQU4ROF2tTz,325,None,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_3wgBJsnx9iRdtkE,326,Same,,,,,,,,,,N/A,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,Prevents
R_3kH2hicstCXFcXn,327,none,,,,,,,,,,what is the cost?,,,,,,,Scenario:Misc,,,,no,,Medical-Simple,IoT-Simple,Trust,Untechnical,No Prevents
R_4q96Qwoa57Zt36J,328,"I would wonder how it is guaranteed, and whether it has been tested extensively.  I would also wonder how easy it would be for hackers to get past it.",,Risk:Hacking,,,,,,,Guarantee:Testing,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
R_1v1zR6NB4gp5sd3,329,same,,,,,,,,,,None,,,,,,,,,,,No,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_7wRJ91Nxt1kqusN,330,n/a,,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_6pJpXRa0N4MNCwr,331,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_6MMWkX45vJCVns5,332,same,,,,,,,,,,NA,,,,,,,,,,,na,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_6F3MJHSLZBhGwO5,333,Same,,,,,,,,,,None.,,,,,,,,,,,None.,,Medical-Complex,IoT-Simple,Hardware,Technical,No Prevents
R_7sRUx0kmHzTAb68,334,How exactly does it work? What are the mechanics and how is it neutral?,,,,Gen:How?,Gen:Implementation,,,,,How do I know for sure that the people who own TEE will not sell my data?,,Risk:People,,,,,,,Guarantee:General,,,,Medical-Simple,IoT-Complex,Hardware,Technical,Prevents
R_3Ja5mockRWJa6cz,335,none,,,,,,,,,,same,,,,,,,,,,,no,,Medical-Complex,IoT-Simple,Hardware,Untechnical,Prevents
R_33jU2mMkyMlSQaB,336,n/a,,,,,,,,,,n/a,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,No Prevents
R_7ib1OESkheRvvEY,337,same,,,,,,,,,,None at this point.,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_5EM7LuexuAZr2hd,338,Data retention policy,,,,,,,,,,How safe is TEE and how long will my data be stored?,,,,,,,Scenario:Data,,Guarantee:General,,Thank you for allowing me to participate!,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_1J3mstVf0wYZFDj,339,same,,,,,,,,,,How is it isolated from the rest of the computer? If the computer has OS level malware can it access the data? Does the information every get transmitted via the internet besides the initial transmission?,,,,Gen:Answered,Gen:Isolation,,,,,,"I'm skeptical of TEEs providing universal protection. They obviously seem secure, but everything has a weakness, especially on an internet connected PC that is used for other things.",,Medical-Complex,IoT-Simple,Unsubstantial,Technical,Prevents
R_3SSbos6c6pmzjiN,340,How is my data protected if one of the staff that has access to it decides to use it for nefarious things? How do I know that my data is 100% protected? How would I be harmed if my data was misused?,,Risk:Fail,Risk:People,,,,,,Guarantee:General,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_7E5LQRNYbmbZ5PP,341,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_3wRt0tzi6LRvX2x,342,none,,,,,,,,,,None,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_5v6Z2Burrav8pv4,343,same,,,,,,,,,,none,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_7LIEr5Yfdkv1wAx,344,same,,,,,,,,,,no,,,,,,,,,,,no,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_1NJy3nVqhStmmzf,345,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,No Prevents
R_7zNMdn7dafeWTUn,346,same,,,,,,,,,,I would want to know more information about how it works.,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_1lbfpEfy4fjPKxb,347,same,,,,,,,,,,n/a,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Untechnical,Prevents
R_6mK7lKOFUDs35Ia,348,i assume information would be safe but a small group of researchers can access my data. thats how i read it.,,,,,,,,,,still not sure what it is,,,,Gen:Misc,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Technical,No Prevents
R_3Q0paE3kpBdqOD2,349,How long would the TEEs be involved,,,,,,,Scenario:Future,,,Same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,Prevents
R_3nWriavwHjSrMEF,350,I would be curious to learn about vulnerabilities.,,Risk:General,,,,,,,,Same.,,,,,,,,,,,No feedback. ,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_5mJj8dNrnnSbkSp,351,None it seems pretty straightforward,,,,,,,,,,Same,,,,,,,,,,,Thanks ,,Medical-Complex,IoT-Simple,Trust,Technical,No Prevents
R_5uEr3uXCRS5HZQH,352,same,,,,,,,,,,Why would the data need changing? Can these authorized people be changed at any time with/without my knowledge?,,,,,,,Scenario:Misc,Scenario:People,,,,,Medical-Simple,IoT-Simple,Hardware,Untechnical,No Prevents
R_3vM2rC33rv7v5U5,353,How am I protected if my data is stolen?,,Risk:Fail,,,,,,,,Same,,,,,,,,,,,NA,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_3Cw33OzueCob5LQ,354,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,Prevents
R_5ouZWjEgGSle0k9,355,How are authorized people chosen?,,,,,,,Scenario:People,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_5ExMGUDKhJ0lZC7,356,,,,,,,,,,,,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Unsubstantial,Untechnical,No Prevents
R_7Uat5tqsB4mYK2d,357,No data is truly safe - how would TEEs be any different?,Distrust:Vague,,,,,,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_72mMEGi2XxyYFYr,358,same,,,,,,,,,,Who is in control of collected data,,,,,,,Scenario:People,,,,,,Medical-Complex,IoT-Complex,Trust,Technical,No Prevents
R_3YXkqysYE7ic2eR,359,None,,,,,,,,,,Same,,,,,,,,,,,None,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_3YgJh67AUNgXpkt,360,Can I be assured my data is secure,,,,,,,,,Guarantee:General,How can I be assured my data will be safe,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Technical,Prevents
R_3jcIZgT14ZJptTT,361,same,,,,,,,,,,I really wonder about how secure a TEE is. What if someone years later decides that TEEs aren't necessary anymore and that they should have access to all data contrary to the original rules of the TEE. After all my banks tell me how secure my personal info is and they get hacked all the time.,Distrust:Manufactuerer,Risk:People,Risk:Real,,,,Scenario:Future,,Guarantee:General,,,,Medical-Simple,IoT-Simple,Unsubstantial,Technical,No Prevents
R_16wgPFeQY0NPQ53,362,Same,,,,,,,,,,How do you protect my data?,,,,Gen:How?,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_7M3Zc7KLSXX9O5W,363,"How does one completely isolate an application from the rest of the machine? Nothing is completely safe from malware, even a VM can't be considered ""safe"" if there is malware on the host machine.",Distrust:Vague,,,Gen:Isolation,,,,,,same. And why does it need my name and address?,,,,,,,Scenario:Data,,,,"I've never heard of them but after looking them up they aren't as bad as I first thought, I still wouldn't trust them in either of these scenarios.",,Medical-Simple,IoT-Simple,Unsubstantial,Technical,Prevents
R_13xuE5GNf2JJEil,364,Regarding this I would want to know if TEEs comply with HIPAA regulations in any way and should my data somehow be seen by others outside that small group of researchers will it be noted so that I can see who saw my data?,,,,,,,Sceanrio:Fail,Scenario:Misc,,I want to now how I can be alerted whenever there is a new exploit of a TEE that my data is on.  I want to know how I can see a list of all my data and what TEE's it is sitting on.  Then when a TEE is exploited I will be notified independently instead of having to wait until whatever vendor decides to come clean.,Distrust:TEE,,,,,,Scenario:Data,Scenario:Misc,,,"I understand what a TEE is supposed to do but I don't trust them to keep out rogue employees or even the general public.  The way I see the most insecure thing in the world is the ""cloud"" where more often than not the majority of the tools and coding libraries used are in a permanent beta state.  Even if a certain tool is not, it most likely has multiple instances of beta software used somewhere in its pipeline.  The releases of software don't catalog that so there is no way for the TEE vendor to see that release 123.47A that came out 4 months ago and relied on Library A, which relied on Library B which relied on Libraries C and D.  And library D was just exploited and phones home and does it unnoticed by security enhanced Intel CPUs which defeats the TEE running an Intel box.

I know that is complicated but it is true.  The easiest way to hack into anything is to write awesome open-source code and give it away!  Tons if it with tons and tons of releases.  New features every day!!!  With nightly builds being released on literally tens of thousands of popular coding libraries, the exploit surface is so huge that addressing this issue by trying to reduce the surface area is pointless.  Best to learn how to respond once exploited.",,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_70SIg23NLBVBEcr,365,How long will they support TEE backing up security on this data?,,,,,,,Scenario:Data,,,What backup plans they have if their primary means of security doesn't work.,,Risk:Fail,,,,,Scenario:Misc,,,,It was an interesting and thought-provoking study.,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_3CQrBEz8fEcNiw6,366,same,,,,,,,,,,What does it mean by it is isolated from the rest of the computer?,,,,Gen:Isolation,,,,,,,,,Medical-Complex,IoT-Complex,Unsubstantial,Technical,No Prevents
