ResponseId,id,"What questions do you still have about TEEs, if any? (medical)",med_distrust,med_risk,med_risk2,med_gen,med_gen2,med_use,med_scenario,med_scenario2,med_guarantees,questions-IoT-merged,iot_distrust,iot_risk,iot_risk2,iot_gen,iot_gen2,iot_use,iot_scenario,iot_scenario2,iot_guarantees,notes,Other feedback,code_feedback,SCENARIO_Med,SCENARIO_IoT,EXPLN_S1,EXPLN_S2,EXPLN_S3
R_5pNYuLOmKRC3Ye5,49,"Again, it would be about vulnerabilities. Are there any risks?",,,,,,,,,,"My first question would be about vulnerabilities. Even if it's existing as it does and isn't vulnerable to malicious software, is there any vulnerabilities? What happens if a screen recording software is used? Does it still show the data, or somehow censor it out? How are they working to combat such vulnerabilities?",,Risk:General,Risk:People,Gen:Features,,,,,,,"Nothing other than thanks for the chance to participate and good luck with your study. My responses were made with my full attention on the study, and I hope they are helpful to you! Best wishes.",,Medical-Complex,IoT-Complex,Trust,Untechnical,Prevents
R_63jqa64fVKoMes6,50,"No questions, I just don't fully trust it.",Distrust:TEE,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_6Nh50bmZSZGiZjo,51,will my personalize data be used or will it be subject one describes symptoms such as or will it be subject Named?,,,,,,,Scenario:Data,,,seeing that anyone can use the data and everyone will have access to the data doesnt make me want to buy one,,,,Gen:Answered,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_3CQ05NrX1W5KcVQ,52,same,,,,,,,,,,How exactly would this prevent someone from accessing my personal data if there was a malicious actor involved?,,Risk:People,,Gen:How?,,,,,,,,,Medical-Complex,IoT-Simple,Unsubstantial,Untechnical,Prevents
R_6ghzMi9si1GSqQh,53,I would need to know how a TEE works before deciding on if I would join a study like that. The explanation says what it's protected from but not how it protects data.,,,,Gen:How?,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Trust,Untechnical,Prevents
R_3sC45u66HnN0u4x,54,same,,,,,,,,,,I have none.,,,,,,,,,,,I have no other feedback.,,Medical-Simple,IoT-Complex,Hardware,Technical,No Prevents
R_6jJ5OplO10oOfjx,55,What specific data do they protect? How exactly does a TEE work? Why wouldn’t everyone use them?,,Risk:General,,Gen:How?,,,Scenario:Data,,,Same,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Technical,Prevents
R_1gArMDSFdy6w2U9,56,wHAT IS THE GUARANTEE THAT THIS WOULD WORK?,,,,,,,,,Guarantee:General,"first what about the light bulb that needs my data is okay? Second, why would a light bulb manufacturer need to collect data? Third, This T thing sound like it is a second drive on an isolated server. They are generally safe but they can still get hacked.",,Risk:Hacking,,Gen:Tech,,,Scenario:Data,,,,just a thank you note. ,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_7g6e2VHDjgr6FAY,57,Same,,,,,,,,,,No,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Unsubstantial,Untechnical,No Prevents
R_741MmmumMLArAQI,58,"How safe is it, how stong is it",,,,,,,,,Guarantee:General,Is it foolproof,,,,,,,,,Guarantee:General,,Thank you ,,Medical-Simple,IoT-Complex,Trust,Technical,No Prevents
R_614vEAnRHNj1aUu,59,I would need to see it running and then I may have specific questions,,,,,,Use:Request,,,,same,,,,,,,,,,,,,Medical-Complex,IoT-Complex,Hardware,Untechnical,No Prevents
R_12X0hmXAAw3oa7T,60,,,,,,,,,,,,,,,,,,,,,,,,Medical-Complex,IoT-Simple,Trust,Untechnical,No Prevents
R_1WD54s3RGRQbdWr,61,none at this time,,,,,,,,,,same,,,,,,,,,,,,,Medical-Simple,IoT-Simple,Hardware,Technical,Prevents
R_1ZLcN7ttwuXRMch,62,I would question the integrity or ulterior motives by those collecting the data.,,Risk:People,,,,,,,,"I have heard many rumors about Alexa listening in on people, so I was biased about this to begin with. I don't trust these devices.",Distrust:Scenario,,,,,,,,,,Thank you!,,Medical-Simple,IoT-Complex,Trust,Untechnical,Prevents
